Country or Area,M49 code,iso3,region
Afghanistan,4,AFG,south_asia
Åland Islands,248,ALA,other
Albania,8,ALB,other
Algeria,12,DZA,other
American Samoa,16,ASM,other
Andorra,20,AND,other
Angola,24,AGO,ssa
Anguilla,660,AIA,other
Antarctica,10,ATA,other
Antigua and Barbuda,28,ATG,other
Argentina,32,ARG,latam
Armenia,51,ARM,other
Aruba,533,ABW,other
Australia,36,AUS,other
Austria,40,AUT,other
Azerbaijan,31,AZE,other
Bahamas,44,BHS,other
Bahrain,48,BHR,other
Bangladesh,50,BGD,south_asia
Barbados,52,BRB,other
Belarus,112,BLR,other
Belgium,56,BEL,other
Belize,84,BLZ,latam
Benin,204,BEN,ssa
Bermuda,60,BMU,other
Bhutan,64,BTN,south_asia
Bolivia (Plurinational State of),68,BOL,latam
"Bonaire, Sint Eustatius and Saba",535,BES,other
Bosnia and Herzegovina,70,BIH,other
Botswana,72,BWA,ssa
Bouvet Island,74,BVT,other
Brazil,76,BRA,latam
British Indian Ocean Territory,86,IOT,other
British Virgin Islands,92,VGB,other
Brunei Darussalam,96,BRN,other
Bulgaria,100,BGR,other
Burkina Faso,854,BFA,ssa
Burundi,108,BDI,ssa
Cabo Verde,132,CPV,ssa
Cambodia,116,KHM,other
Cameroon,120,CMR,ssa
Canada,124,CAN,other
Cayman Islands,136,CYM,other
Central African Republic,140,CAF,ssa
Chad,148,TCD,ssa
Chile,152,CHL,latam
China,156,CHN,east_asia
"China, Hong Kong Special Administrative Region",344,HKG,other
"China, Macao Special Administrative Region",446,MAC,other
Christmas Island,162,CXR,other
Cocos (Keeling) Islands,166,CCK,other
Colombia,170,COL,latam
Comoros,174,COM,ssa
Congo,178,COG,ssa
Cook Islands,184,COK,other
Costa Rica,188,CRI,latam
Côte d'Ivoire,384,CIV,ssa
Croatia,191,HRV,other
Cuba,192,CUB,latam
Curaçao,531,CUW,other
Cyprus,196,CYP,other
Czechia,203,CZE,other
Democratic People's Republic of Korea,408,PRK,east_asia
Democratic Republic of the Congo,180,COD,ssa
Denmark,208,DNK,other
Djibouti,262,DJI,ssa
Dominica,212,DMA,other
Dominican Republic,214,DOM,latam
Ecuador,218,ECU,latam
Egypt,818,EGY,other
El Salvador,222,SLV,latam
Equatorial Guinea,226,GNQ,ssa
Eritrea,232,ERI,ssa
Estonia,233,EST,other
Eswatini,748,SWZ,ssa
Ethiopia,231,ETH,ssa
Falkland Islands (Malvinas),238,FLK,other
Faroe Islands,234,FRO,other
Fiji,242,FJI,other
Finland,246,FIN,other
France,250,FRA,other
French Guiana,254,GUF,other
French Polynesia,258,PYF,other
French Southern Territories,260,ATF,other
Gabon,266,GAB,ssa
Gambia,270,GMB,ssa
Georgia,268,GEO,other
Germany,276,DEU,other
Ghana,288,GHA,ssa
Gibraltar,292,GIB,other
Greece,300,GRC,other
Greenland,304,GRL,other
Grenada,308,GRD,other
Guadeloupe,312,GLP,other
