ISO3,country or area,Combined Margin Grid Emission Factor from Electricity Consumption (kgCO2/kWh)
AFG,Afghanistan,193.2476705
ALB,Albania,0
DZA,Algeria,397.359966
ASM,American Samoa (U.S.),515.8517861
AND,Andorra,69.67384957
AGO,Angola,747.6993002
AIA,Anguilla (U.K.),471.5405516
ATG,Antigua and Barbuda,489.3632694
ARG,Argentina,288.1833605
ARM,Armenia,204.5448375
ABW,Aruba,421.1027916
AUS,Australia,420.5336365
AUT,Austria,113.0645992
AZE,Azerbaijan,384.3432467
,Azores (Portugal),384.121207
BHS,Bahamas,440.8439053
BHR,Bahrain,454.2677224
BGD,Bangladesh,411.7139398
BRB,Barbados,483.9997086
BLR,Belarus,291.5601707
BEL,Belgium,124.3944283
BLZ,Belize,182.9514519
BEN,Benin,575.7649827
BMU,Bermuda (U.K.),341.5088723
BTN,Bhutan,0
BOL,"Bolivia, Plurinational State of",393.2892293
BES,Bonaire (Netherland),400.2008502
BIH,Bosnia and Herzegovina,738.997039
BWA,Botswana,1070.266056
BRA,Brazil,150.0245552
VGB,British Virgin Islands (U.K.),420.1937065
BRN,Brunei Darussalam,407.1626247
BGR,Bulgaria,495.2807372
BFA,Burkina Faso,539.0972553
BDI,Burundi,197.0245527
KHM,Cambodia,587.8056579
CMR,Cameroon,354.3533032
CAN,Canada,213.3626988
,Canary Islands (Spain),434.8141386
CPV,Cape Verde,505.0203608
CYM,Cayman Islands,372.6714674
CAF,Central African Republic,76.54327054
TCD,Chad,580.8589445
,Channel Islands (U.K),388.643308
CHL,Chile,235.2275941
CHN,China (PRC and Hong Kong),485.4116582
COL,Colombia,208.3405817
COM,Comoros,589.1121074
COD,"Congo, Democratic Republic of",0.373194999
COG,"Congo, Republic of",405.2711502
COK,Cook Islands,421.7247467
CRI,Costa Rica,38.89054291
CIV,C�te d'Ivoire,314.232072
HRV,Croatia,167.8631708
CUB,Cuba,391.1642034
CUW,Curacao/Netherlands Antilles,505.7344273
CYP,Cyprus,438.0304755
CZE,Czech Republic,461.3053207
DNK,Denmark,155.2421522
DJI,Djibouti,575.4710043
DMA,Dominica,432.8763304
DOM,Dominican Republic,426.2199044
ECU,Ecuador,280.0294909
EGY,Egypt,405.8893714
SLV,El Salvador,274.8500889
GNQ,Equatorial Guinea,361.1439154
ERI,Eritrea,703.6590956
EST,Estonia,625.1508308
SWZ,Eswatini,0
ETH,Ethiopia,0.141374516
FLK,Falkland Islands (U.K.),315.5638778
FRO,Faroe Islands (Denmark),320.410674
FJI,Fiji,334.4475065
FIN,Finland,114.0774433
FRA,France,67.62273022
GUF,French Guiana,199.6395202
PYF,French Polynesia,412.4669216
GAB,Gabon,532.9343146
GMB,Gambia,590.9736287
GEO,Georgia,135.4657981
DEU,Germany,312.8844838
GHA,Ghana,275.9872002
GIB,Gibraltar (U.K.),368.784881
GRC,Greece,345.8436564
GRL,Greenland,104.8154387
GRD,Grenada,522.6972855
GLP,Guadeloupe (France),432.8381638
GUM,Guam,427.8175164
GTM,Guatemala,427.1002816
GIN,Guinea,459.5535078
GNB,Guinea-Bissau,577.2261624
GUY,Guyana,615.6995753
HTI,Haiti,764.6132817
HND,Honduras,359.0872185
