iso3,country,CO2,CH4,N2O
AFG,Afghanistan,0.831933778,0.016322352,0.001013997
ALA,Åland Islands,0.831933778,0.016322352,0.001013997
ALB,Albania,0.831933778,0.016322352,0.001013997
DZA,Algeria,0.831933778,0.016322352,0.001013997
ASM,American Samoa,0.831933778,0.016322352,0.001013997
AND,Andorra,0.831933778,0.016322352,0.001013997
AGO,Angola,0.831933778,0.016322352,0.001013997
AIA,Anguilla,0.831933778,0.016322352,0.001013997
ATA,Antarctica,0.831933778,0.016322352,0.001013997
ATG,Antigua and Barbuda,0.831933778,0.016322352,0.001013997
ARG,Argentina,0.831933778,0.016322352,0.001013997
ARM,Armenia,0.831933778,0.016322352,0.001013997
ABW,Aruba,0.831933778,0.016322352,0.001013997
AUS,Australia,0.831933778,0.016322352,0.001013997
AUT,Austria,0.831933778,0.016322352,0.001013997
AZE,Azerbaijan,0.831933778,0.016322352,0.001013997
BHS,Bahamas,0.831933778,0.016322352,0.001013997
BHR,Bahrain,0.831933778,0.016322352,0.001013997
BGD,Bangladesh,0.831933778,0.016322352,0.001013997
BRB,Barbados,0.831933778,0.016322352,0.001013997
BLR,Belarus,0.831933778,0.016322352,0.001013997
BEL,Belgium,0.831933778,0.016322352,0.001013997
BLZ,Belize,0.831933778,0.016322352,0.001013997
BEN,Benin,0.831933778,0.016322352,0.001013997
BMU,Bermuda,0.831933778,0.016322352,0.001013997
BTN,Bhutan,0.831933778,0.016322352,0.001013997
BOL,Bolivia (Plurinational State of),0.831933778,0.016322352,0.001013997
BES,"Bonaire, Sint Eustatius and Saba",0.831933778,0.016322352,0.001013997
BIH,Bosnia and Herzegovina,0.831933778,0.016322352,0.001013997
BWA,Botswana,0.831933778,0.016322352,0.001013997
BVT,Bouvet Island,0.831933778,0.016322352,0.001013997
BRA,Brazil,0.831933778,0.016322352,0.001013997
IOT,British Indian Ocean Territory,0.831933778,0.016322352,0.001013997
VGB,British Virgin Islands,0.831933778,0.016322352,0.001013997
BRN,Brunei Darussalam,0.831933778,0.016322352,0.001013997
BGR,Bulgaria,0.831933778,0.016322352,0.001013997
BFA,Burkina Faso,0.831933778,0.016322352,0.001013997
BDI,Burundi,0.831933778,0.016322352,0.001013997
CPV,Cabo Verde,0.831933778,0.016322352,0.001013997
KHM,Cambodia,0.831933778,0.016322352,0.001013997
CMR,Cameroon,0.831933778,0.016322352,0.001013997
CAN,Canada,0.831933778,0.016322352,0.001013997
CYM,Cayman Islands,0.831933778,0.016322352,0.001013997
CAF,Central African Republic,0.831933778,0.016322352,0.001013997
TCD,Chad,0.831933778,0.016322352,0.001013997
CHL,Chile,0.831933778,0.016322352,0.001013997
CHN,China,0.831933778,0.016322352,0.001013997
HKG,"China, Hong Kong Special Administrative Region",0.831933778,0.016322352,0.001013997
MAC,"China, Macao Special Administrative Region",0.831933778,0.016322352,0.001013997
CXR,Christmas Island,0.831933778,0.016322352,0.001013997
CCK,Cocos (Keeling) Islands,0.831933778,0.016322352,0.001013997
COL,Colombia,0.831933778,0.016322352,0.001013997
COM,Comoros,0.831933778,0.016322352,0.001013997
COG,Congo,0.831933778,0.016322352,0.001013997
COK,Cook Islands,0.831933778,0.016322352,0.001013997
CRI,Costa Rica,0.831933778,0.016322352,0.001013997
CIV,Côte d'Ivoire,0.831933778,0.016322352,0.001013997
HRV,Croatia,0.831933778,0.016322352,0.001013997
CUB,Cuba,0.831933778,0.016322352,0.001013997
CUW,Curaçao,0.831933778,0.016322352,0.001013997
CYP,Cyprus,0.831933778,0.016322352,0.001013997
CZE,Czechia,0.831933778,0.016322352,0.001013997
PRK,Democratic People's Republic of Korea,0.831933778,0.016322352,0.001013997
COD,Democratic Republic of the Congo,0.831933778,0.016322352,0.001013997
DNK,Denmark,0.831933778,0.016322352,0.001013997
DJI,Djibouti,0.831933778,0.016322352,0.001013997
DMA,Dominica,0.831933778,0.016322352,0.001013997
DOM,Dominican Republic,0.831933778,0.016322352,0.001013997
ECU,Ecuador,0.831933778,0.016322352,0.001013997
