iso3,country,area,fuel,per_capita_tons
AFG,Afghanistan,Urban,Biomass,0.66
AFG,Afghanistan,Urban,Charcoal,0.26
AFG,Afghanistan,Urban,Coal,0.33
AFG,Afghanistan,Urban,Electricity,0.09
AFG,Afghanistan,Urban,Gas,0.43
AFG,Afghanistan,Urban,Kerosene,0.3
AFG,Afghanistan,Urban,Total Clean,0.47
AFG,Afghanistan,Urban,Total Polluting,0.61
AFG,Afghanistan,Rural,Biomass,0.83
AFG,Afghanistan,Rural,Charcoal,0.3
AFG,Afghanistan,Rural,Coal,0.4
AFG,Afghanistan,Rural,Electricity,0.06
AFG,Afghanistan,Rural,Gas,0.34
AFG,Afghanistan,Rural,Kerosene,0.33
AFG,Afghanistan,Rural,Total Clean,0.35
AFG,Afghanistan,Rural,Total Polluting,0.74
AGO,Angola,Urban,Biomass,0.66
AGO,Angola,Urban,Charcoal,0.26
AGO,Angola,Urban,Coal,0.33
AGO,Angola,Urban,Electricity,0.09
AGO,Angola,Urban,Gas,0.42
AGO,Angola,Urban,Kerosene,0.3
AGO,Angola,Urban,Total Clean,0.47
AGO,Angola,Urban,Total Polluting,0.61
AGO,Angola,Rural,Biomass,0.83
AGO,Angola,Rural,Charcoal,0.3
AGO,Angola,Rural,Coal,0.4
AGO,Angola,Rural,Electricity,0.06
AGO,Angola,Rural,Gas,0.34
AGO,Angola,Rural,Kerosene,0.33
AGO,Angola,Rural,Total Clean,0.35
AGO,Angola,Rural,Total Polluting,0.74
ALB,Albania,Urban,Biomass,0.75
ALB,Albania,Urban,Charcoal,0.3
ALB,Albania,Urban,Coal,0.37
ALB,Albania,Urban,Electricity,0.11
ALB,Albania,Urban,Gas,0.48
ALB,Albania,Urban,Kerosene,0.34
ALB,Albania,Urban,Total Clean,0.53
ALB,Albania,Urban,Total Polluting,0.7
ALB,Albania,Rural,Biomass,0.94
ALB,Albania,Rural,Charcoal,0.34
ALB,Albania,Rural,Coal,0.45
ALB,Albania,Rural,Electricity,0.06
ALB,Albania,Rural,Gas,0.39
ALB,Albania,Rural,Kerosene,0.38
ALB,Albania,Rural,Total Clean,0.4
ALB,Albania,Rural,Total Polluting,0.83
ARG,Argentina,Urban,Biomass,0.67
ARG,Argentina,Urban,Charcoal,0.27
ARG,Argentina,Urban,Coal,0.34
ARG,Argentina,Urban,Electricity,0.1
ARG,Argentina,Urban,Gas,0.43
ARG,Argentina,Urban,Kerosene,0.31
ARG,Argentina,Urban,Total Clean,0.48
ARG,Argentina,Urban,Total Polluting,0.62
ARG,Argentina,Rural,Biomass,0.84
ARG,Argentina,Rural,Charcoal,0.31
ARG,Argentina,Rural,Coal,0.4
ARG,Argentina,Rural,Electricity,0.06
ARG,Argentina,Rural,Gas,0.35
ARG,Argentina,Rural,Kerosene,0.34
ARG,Argentina,Rural,Total Clean,0.36
ARG,Argentina,Rural,Total Polluting,0.75
ARM,Armenia,Urban,Biomass,0.66
ARM,Armenia,Urban,Charcoal,0.26
ARM,Armenia,Urban,Coal,0.33
ARM,Armenia,Urban,Electricity,0.09
ARM,Armenia,Urban,Gas,0.42
ARM,Armenia,Urban,Kerosene,0.3
ARM,Armenia,Urban,Total Clean,0.47
ARM,Armenia,Urban,Total Polluting,0.61
ARM,Armenia,Rural,Biomass,0.82
ARM,Armenia,Rural,Charcoal,0.3
ARM,Armenia,Rural,Coal,0.39
ARM,Armenia,Rural,Electricity,0.06
ARM,Armenia,Rural,Gas,0.34
ARM,Armenia,Rural,Kerosene,0.33
ARM,Armenia,Rural,Total Clean,0.35
ARM,Armenia,Rural,Total Polluting,0.73
AZE,Azerbaijan,Urban,Biomass,0.75
AZE,Azerbaijan,Urban,Charcoal,0.3
AZE,Azerbaijan,Urban,Coal,0.38
AZE,Azerbaijan,Urban,Electricity,0.11
AZE,Azerbaijan,Urban,Gas,0.48
AZE,Azerbaijan,Urban,Kerosene,0.34
AZE,Azerbaijan,Urban,Total Clean,0.54
AZE,Azerbaijan,Urban,Total Polluting,0.7
AZE,Azerbaijan,Rural,Biomass,0.94
AZE,Azerbaijan,Rural,Charcoal,0.35
AZE,Azerbaijan,Rural,Coal,0.45
AZE,Azerbaijan,Rural,Electricity,0.06
AZE,Azerbaijan,Rural,Gas,0.39
AZE,Azerbaijan,Rural,Kerosene,0.38
AZE,Azerbaijan,Rural,Total Clean,0.4
